frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[342.0, 45.0, 563.0, 256.0, 0.9149801135063171, 0.0], [65.0, 36.0, 331.0, 253.0, 0.8724324107170105, 0.0]]"
600,"[[139.0, 34.0, 322.0, 255.0, 0.8131762742996216, 0.0], [325.0, 42.0, 541.0, 269.0, 0.785089373588562, 0.0]]"
700,"[[320.0, 43.0, 530.0, 256.0, 0.9420616626739502, 0.0], [127.0, 32.0, 314.0, 251.0, 0.8128944635391235, 0.0]]"
800,"[[367.0, 41.0, 583.0, 266.0, 0.8291412591934204, 0.0], [173.0, 32.0, 354.0, 252.0, 0.8112819194793701, 0.0]]"
900,"[[482.0, 70.0, 623.0, 255.0, 0.8772221803665161, 0.0], [227.0, 165.0, 284.0, 214.0, 0.8230162262916565, 0.0], [47.0, 146.0, 132.0, 259.0, 0.7868719100952148, 0.0], [135.0, 163.0, 198.0, 224.0, 0.7716811895370483, 0.0], [0.0, 176.0, 48.0, 255.0, 0.737423837184906, 0.0], [48.0, 144.0, 86.0, 188.0, 0.639080286026001, 0.0], [221.0, 213.0, 330.0, 358.0, 0.37679728865623474, 0.0], [0.0, 155.0, 12.0, 196.0, 0.3639562427997589, 0.0], [261.0, 217.0, 320.0, 259.0, 0.3259369134902954, 0.0]]"
1000,"[[487.0, 2.0, 628.0, 355.0, 0.9463344812393188, 0.0], [258.0, 28.0, 423.0, 289.0, 0.9381852149963379, 0.0], [53.0, 214.0, 239.0, 359.0, 0.915366530418396, 0.0], [177.0, 106.0, 237.0, 161.0, 0.7439649701118469, 0.0], [185.0, 162.0, 305.0, 320.0, 0.7290428876876831, 0.0], [85.0, 106.0, 148.0, 179.0, 0.6558406352996826, 0.0], [0.0, 91.0, 42.0, 207.0, 0.5974991917610168, 0.0], [30.0, 81.0, 90.0, 188.0, 0.47508737444877625, 0.0], [0.0, 91.0, 39.0, 135.0, 0.25718170404434204, 0.0]]"
1100,"[[440.0, 5.0, 570.0, 354.0, 0.9273109436035156, 0.0], [8.0, 197.0, 163.0, 359.0, 0.9170662760734558, 0.0], [336.0, 12.0, 408.0, 292.0, 0.9082890152931213, 0.0], [151.0, 161.0, 281.0, 334.0, 0.867408037185669, 0.0], [55.0, 105.0, 133.0, 178.0, 0.805788516998291, 0.0], [147.0, 109.0, 209.0, 164.0, 0.7892257571220398, 0.0], [0.0, 97.0, 54.0, 196.0, 0.5583338737487793, 0.0]]"
1200,"[[147.0, 149.0, 288.0, 330.0, 0.9081606268882751, 0.0], [0.0, 194.0, 146.0, 359.0, 0.8905673027038574, 0.0], [163.0, 18.0, 277.0, 233.0, 0.8460847735404968, 0.0], [33.0, 109.0, 111.0, 178.0, 0.8230918645858765, 0.0], [126.0, 108.0, 179.0, 163.0, 0.7454507946968079, 0.0], [209.0, 21.0, 257.0, 91.0, 0.45039719343185425, 0.0], [0.0, 96.0, 28.0, 147.0, 0.42517879605293274, 0.0]]"
