frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[405.0, 131.0, 986.0, 763.0, 0.6239101886749268, 0.0], [993.0, 138.0, 1607.0, 770.0, 0.5012667775154114, 0.0]]"
600,"[[412.0, 134.0, 962.0, 762.0, 0.6892581582069397, 0.0], [988.0, 147.0, 1614.0, 786.0, 0.49125874042510986, 0.0]]"
700,"[[961.0, 127.0, 1581.0, 753.0, 0.7004161477088928, 0.0], [360.0, 134.0, 944.0, 763.0, 0.6100042462348938, 0.0]]"
800,"[[509.0, 108.0, 1069.0, 763.0, 0.5855962038040161, 0.0], [1132.0, 138.0, 1768.0, 794.0, 0.42533159255981445, 0.0]]"
900,"[[407.0, 480.0, 598.0, 673.0, 0.8906355500221252, 0.0], [687.0, 501.0, 856.0, 641.0, 0.8414875864982605, 0.0], [1432.0, 209.0, 1884.0, 771.0, 0.8048670887947083, 0.0], [144.0, 435.0, 267.0, 562.0, 0.6816419959068298, 0.0], [176.0, 437.0, 414.0, 792.0, 0.48750364780426025, 0.0], [0.0, 464.0, 36.0, 547.0, 0.47448328137397766, 0.0], [118.0, 422.0, 273.0, 773.0, 0.3924921154975891, 0.0], [774.0, 653.0, 948.0, 772.0, 0.3378719389438629, 0.0]]"
1000,"[[577.0, 326.0, 717.0, 471.0, 0.8176824450492859, 0.0], [276.0, 314.0, 455.0, 521.0, 0.755897581577301, 0.0], [2.0, 275.0, 119.0, 403.0, 0.730451762676239, 0.0], [1505.0, 6.0, 1877.0, 664.0, 0.6004726886749268, 0.0], [764.0, 81.0, 1236.0, 732.0, 0.5566043257713318, 0.0], [1485.0, 400.0, 1882.0, 1050.0, 0.5491740703582764, 0.0], [158.0, 643.0, 698.0, 1065.0, 0.5129741430282593, 0.0], [100.0, 259.0, 264.0, 460.0, 0.47188350558280945, 0.0], [24.0, 260.0, 265.0, 596.0, 0.2792806923389435, 0.0], [1302.0, 238.0, 1869.0, 895.0, 0.2580362856388092, 0.0]]"
1100,"[[178.0, 314.0, 392.0, 534.0, 0.8778062462806702, 0.0], [0.0, 292.0, 139.0, 509.0, 0.7956976294517517, 0.0], [442.0, 328.0, 608.0, 489.0, 0.7924613952636719, 0.0], [1032.0, 34.0, 1223.0, 714.0, 0.7178391218185425, 0.0], [1337.0, 354.0, 1711.0, 1013.0, 0.6227295994758606, 0.0], [435.0, 485.0, 834.0, 1033.0, 0.5632695555686951, 0.0], [24.0, 587.0, 467.0, 1066.0, 0.561430037021637, 0.0], [1362.0, 17.0, 1700.0, 670.0, 0.3354230523109436, 0.0]]"
