frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[582.0, 78.0, 979.0, 449.0, 0.909136176109314, 0.0], [109.0, 63.0, 577.0, 444.0, 0.8696502447128296, 0.0]]"
600,"[[239.0, 60.0, 558.0, 445.0, 0.9182973504066467, 0.0], [552.0, 60.0, 949.0, 630.0, 0.5214536786079407, 0.0]]"
700,"[[214.0, 62.0, 551.0, 449.0, 0.8591451644897461, 0.0], [546.0, 76.0, 931.0, 446.0, 0.8136736154556274, 0.0]]"
800,"[[300.0, 62.0, 619.0, 447.0, 0.9183574914932251, 0.0], [625.0, 72.0, 1018.0, 630.0, 0.6276459097862244, 0.0]]"
900,"[[847.0, 113.0, 1097.0, 453.0, 0.9030527472496033, 0.0], [398.0, 293.0, 498.0, 376.0, 0.8812766075134277, 0.0], [236.0, 280.0, 347.0, 394.0, 0.8035417795181274, 0.0], [0.0, 308.0, 89.0, 440.0, 0.6846759915351868, 0.0], [85.0, 255.0, 235.0, 455.0, 0.6716263890266418, 0.0], [84.0, 253.0, 153.0, 333.0, 0.628866970539093, 0.0], [414.0, 380.0, 646.0, 627.0, 0.4909079968929291, 0.0], [949.0, 587.0, 1054.0, 629.0, 0.41149967908859253, 0.0], [83.0, 254.0, 158.0, 441.0, 0.3898213803768158, 0.0], [0.0, 271.0, 21.0, 342.0, 0.38140055537223816, 0.0]]"
1000,"[[87.0, 375.0, 429.0, 625.0, 0.8447335958480835, 0.0], [313.0, 191.0, 416.0, 277.0, 0.8407455086708069, 0.0], [442.0, 50.0, 728.0, 513.0, 0.8122709393501282, 0.0], [846.0, 0.0, 1101.0, 630.0, 0.801653265953064, 0.0], [157.0, 185.0, 266.0, 406.0, 0.6434839367866516, 0.0], [326.0, 276.0, 541.0, 556.0, 0.5777900815010071, 0.0], [32.0, 151.0, 154.0, 364.0, 0.5602989196777344, 0.0], [0.0, 160.0, 72.0, 236.0, 0.5436030626296997, 0.0], [0.0, 160.0, 79.0, 361.0, 0.3298630118370056, 0.0], [56.0, 151.0, 155.0, 267.0, 0.2597278356552124, 0.0]]"
1100,"[[767.0, 20.0, 993.0, 628.0, 0.9218335151672363, 0.0], [15.0, 342.0, 288.0, 626.0, 0.9055530428886414, 0.0], [591.0, 20.0, 712.0, 524.0, 0.8501038551330566, 0.0], [257.0, 194.0, 359.0, 285.0, 0.807408332824707, 0.0], [261.0, 280.0, 494.0, 596.0, 0.796257734298706, 0.0], [102.0, 185.0, 232.0, 314.0, 0.7129320502281189, 0.0], [0.0, 171.0, 87.0, 299.0, 0.7082726359367371, 0.0]]"
