frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[257.0, 34.0, 425.0, 193.0, 0.9304603338241577, 0.0], [45.0, 26.0, 248.0, 209.0, 0.7691166400909424, 0.0]]"
600,"[[104.0, 27.0, 242.0, 189.0, 0.7734512686729431, 0.0], [246.0, 30.0, 406.0, 208.0, 0.7444137334823608, 0.0]]"
700,"[[240.0, 33.0, 397.0, 191.0, 0.9146354794502258, 0.0], [59.0, 25.0, 237.0, 270.0, 0.6788324117660522, 0.0]]"
800,"[[129.0, 27.0, 266.0, 190.0, 0.8881727457046509, 0.0], [272.0, 31.0, 436.0, 211.0, 0.6651971936225891, 0.0]]"
900,"[[365.0, 49.0, 473.0, 195.0, 0.8114086985588074, 0.0], [170.0, 124.0, 211.0, 161.0, 0.7850386500358582, 0.0], [102.0, 121.0, 148.0, 169.0, 0.7381661534309387, 0.0], [34.0, 108.0, 101.0, 193.0, 0.7145528793334961, 0.0], [0.0, 132.0, 37.0, 192.0, 0.5936954617500305, 0.0], [35.0, 108.0, 64.0, 146.0, 0.5441610813140869, 0.0], [168.0, 161.0, 246.0, 269.0, 0.413883239030838, 0.0], [194.0, 162.0, 238.0, 196.0, 0.3948570191860199, 0.0], [72.0, 121.0, 145.0, 190.0, 0.28131532669067383, 0.0]]"
1000,"[[364.0, 0.0, 469.0, 267.0, 0.9461879134178162, 0.0], [40.0, 160.0, 177.0, 270.0, 0.9025756120681763, 0.0], [186.0, 22.0, 317.0, 219.0, 0.8370986580848694, 0.0], [137.0, 119.0, 230.0, 238.0, 0.7114601731300354, 0.0], [135.0, 80.0, 177.0, 119.0, 0.6943925023078918, 0.0], [58.0, 82.0, 113.0, 175.0, 0.619008481502533, 0.0], [22.0, 85.0, 70.0, 176.0, 0.5352988839149475, 0.0], [0.0, 67.0, 36.0, 156.0, 0.5039462447166443, 0.0], [33.0, 58.0, 59.0, 103.0, 0.4294953942298889, 0.0], [0.0, 68.0, 30.0, 102.0, 0.3809143304824829, 0.0]]"
1100,"[[331.0, 5.0, 430.0, 261.0, 0.9329102635383606, 0.0], [259.0, 10.0, 305.0, 218.0, 0.8907113075256348, 0.0], [4.0, 147.0, 123.0, 270.0, 0.862397313117981, 0.0], [110.0, 121.0, 212.0, 251.0, 0.8506483435630798, 0.0], [111.0, 82.0, 157.0, 123.0, 0.7409514784812927, 0.0], [39.0, 79.0, 93.0, 133.0, 0.6362979412078857, 0.0], [0.0, 75.0, 41.0, 155.0, 0.46023285388946533, 0.0]]"
