frame,number of objects
100,[]
200,[]
300,[]
400,[]
500,"[[429.0, 58.0, 705.0, 320.0, 0.9277781844139099, 0.0], [73.0, 48.0, 415.0, 319.0, 0.8794865012168884, 0.0]]"
600,"[[410.0, 49.0, 685.0, 450.0, 0.8479264378547668, 0.0], [174.0, 47.0, 400.0, 314.0, 0.8115084767341614, 0.0]]"
700,"[[401.0, 59.0, 663.0, 318.0, 0.8893143534660339, 0.0], [159.0, 46.0, 391.0, 317.0, 0.8396080136299133, 0.0]]"
800,"[[215.0, 47.0, 443.0, 315.0, 0.9031149744987488, 0.0], [453.0, 52.0, 728.0, 449.0, 0.7813000679016113, 0.0]]"
900,"[[284.0, 208.0, 356.0, 269.0, 0.8621149063110352, 0.0], [598.0, 84.0, 785.0, 321.0, 0.8093748092651367, 0.0], [0.0, 221.0, 63.0, 315.0, 0.789172887802124, 0.0], [60.0, 181.0, 108.0, 235.0, 0.7632051110267639, 0.0], [62.0, 184.0, 166.0, 323.0, 0.7238433361053467, 0.0], [167.0, 201.0, 246.0, 282.0, 0.713011622428894, 0.0], [283.0, 271.0, 436.0, 447.0, 0.5991096496582031, 0.0], [0.0, 194.0, 15.0, 248.0, 0.42480847239494324, 0.0]]"
1000,"[[612.0, 5.0, 784.0, 443.0, 0.9252292513847351, 0.0], [319.0, 40.0, 527.0, 365.0, 0.9168450832366943, 0.0], [67.0, 266.0, 306.0, 450.0, 0.9024351835250854, 0.0], [225.0, 136.0, 299.0, 198.0, 0.8483776450157166, 0.0], [231.0, 198.0, 383.0, 398.0, 0.8283729553222656, 0.0], [0.0, 115.0, 50.0, 166.0, 0.6361965537071228, 0.0], [114.0, 133.0, 191.0, 282.0, 0.6278204321861267, 0.0], [37.0, 108.0, 114.0, 270.0, 0.5849341750144958, 0.0], [0.0, 110.0, 55.0, 259.0, 0.42179498076438904, 0.0]]"
1100,"[[548.0, 9.0, 713.0, 441.0, 0.9371806979179382, 0.0], [427.0, 16.0, 509.0, 369.0, 0.8868786692619324, 0.0], [12.0, 243.0, 199.0, 449.0, 0.8834445476531982, 0.0], [186.0, 202.0, 352.0, 418.0, 0.8677981495857239, 0.0], [186.0, 139.0, 256.0, 203.0, 0.824884295463562, 0.0], [72.0, 130.0, 166.0, 221.0, 0.819025993347168, 0.0], [0.0, 122.0, 57.0, 207.0, 0.6085442304611206, 0.0]]"
1200,"[[0.0, 243.0, 185.0, 447.0, 0.8876763582229614, 0.0], [183.0, 180.0, 359.0, 413.0, 0.8842266201972961, 0.0], [42.0, 133.0, 140.0, 224.0, 0.8345544934272766, 0.0], [159.0, 137.0, 223.0, 203.0, 0.823196530342102, 0.0], [205.0, 20.0, 351.0, 300.0, 0.7976672649383545, 0.0], [0.0, 123.0, 35.0, 183.0, 0.49850955605506897, 0.0], [261.0, 26.0, 317.0, 106.0, 0.3425716459751129, 0.0]]"
